number	firm	asset
01	Blackstone	investment-firm-logo-01.webp
02	Caffeinated	investment-firm-logo-02.webp
03	Apollo	investment-firm-logo-03.webp
04	SignalFire	investment-firm-logo-04.webp
05	Sequoia Capital	investment-firm-logo-05.webp
06	Andreessen Horowitz	investment-firm-logo-06.webp
07	Accel	investment-firm-logo-07.webp
08	Y Combinator	investment-firm-logo-08.webp
09	GV	investment-firm-logo-09.webp
10	TPG	investment-firm-logo-10.webp
11	Thoma Bravo	investment-firm-logo-11.webp
12	Bain Capital	investment-firm-logo-12.webp
13	Advent International	investment-firm-logo-13.webp
14	General Atlantic	investment-firm-logo-14.webp
15	Silver Lake	investment-firm-logo-15.webp
16	Vista Equity Partners	investment-firm-logo-16.webp
17	Warburg Pincus	investment-firm-logo-17.webp
18	EQT	investment-firm-logo-18.webp
19	CVC	investment-firm-logo-19.webp
20	Permira	investment-firm-logo-20.webp
21	Leonard Green & Partners	investment-firm-logo-21.webp
22	Francisco Partners	investment-firm-logo-22.webp
23	Hg	investment-firm-logo-23.webp
24	TA Associates	investment-firm-logo-24.webp
25	GTCR	investment-firm-logo-25.webp
26	New Mountain Capital	investment-firm-logo-26.webp
27	H.I.G. Capital	investment-firm-logo-27.webp
28	Khosla Ventures	investment-firm-logo-28.webp
29	Bessemer Venture Partners	investment-firm-logo-29.webp
30	General Catalyst	investment-firm-logo-30.webp
31	Greylock	investment-firm-logo-31.webp
32	Lightspeed	investment-firm-logo-32.webp
33	Index Ventures	investment-firm-logo-33.webp
34	Kleiner Perkins	investment-firm-logo-34.webp
35	Founders Fund	investment-firm-logo-35.webp
36	NEA	investment-firm-logo-36.webp
37	Insight Partners	investment-firm-logo-37.webp
38	Sapphire Ventures	investment-firm-logo-38.webp
39	Initialized Capital	investment-firm-logo-39.webp
40	Gradient Ventures	investment-firm-logo-40.webp
41	Foundation Capital	investment-firm-logo-41.webp
42	Meritech Capital	investment-firm-logo-42.webp
43	Bedrock	investment-firm-logo-43.webp
44	Northzone	investment-firm-logo-44.webp
45	OpenOcean	investment-firm-logo-45.webp
46	KKR	investment-firm-logo-46.webp
47	PROOF	investment-firm-logo-47.webp
48	A.Capital	investment-firm-logo-48.webp
49	Pareto	investment-firm-logo-49.webp
50	Alumni Ventures	investment-firm-logo-50.webp
51	Love Ventures	investment-firm-logo-51.webp
52	IRIS	investment-firm-logo-52.webp
53	Praetura Ventures	investment-firm-logo-53.webp
54	Benchmark	investment-firm-logo-54.webp
